80	4191620887
52402	123072001
80	4191620888
80	4191620888
52402	123072002
52402	123072002
80	4191621184
80	4191621184
52402	123072386
52402	123072386
80	4191621480
80	4191621480
52402	123072770
52402	123072770
80	4191621776
80	4191621775
52402	123073154
80	4191621775
52402	123073154
80	4191621775
52402	123073154
80	4191621775
52402	123073154
80	4191621775
52402	123073154
80	4191621775
52402	123073154
80	4191621775
52402	123073154
80	4191621775
52402	123073154
80	4191621775
52402	123073154
80	4191621775
52402	123073154
443	946096243
50384	137024001
443	946096244
443	946096244
50384	137024002
50384	137024002
443	946096429
50384	137025462
443	946096429
443	946096429
50384	137027022
443	946096504
50384	137027022
443	946096510
50384	137027022
50384	137027022
443	946096555
80	4191621775
52402	123073154
80	4191621776
52402	123073154
52402	123073154
80	4191621777
